n,establishment_id,business_name,address,city,zip,geocoded_lat,geocoded_lng,geocode_quality,satellite_link,address_search_link,verdict,true_lat,true_lng,cause,notes
1,"2319794|2010|2269 DAN MARINO BLVD STAND C129, MIAMI, 33056",129 MAGIC CITY DOGS,"2269 DAN MARINO BLVD, STAND #C129",MIAMI,33056,25.8055072,-80.1892147,google:ROOFTOP,"https://www.google.com/maps/place/25.8055072,-80.1892147/@25.8055072,-80.1892147,20z/data=!3m1!1e3",https://www.google.com/maps/search/?api=1&query=2269%20DAN%20MARINO%20BLVD%2C%20STAND%20%23C129%2C%20MIAMI%2C%20FL%2033056,,,,,
2,"2327569|2010|16899 NE 15 AVE, NORTH MIAMI BEACH, 33162",RINCON SABROSO / DIANINA GUTIERREZ,16899 NE 15 AVE,NORTH MIAMI BEACH,33162,25.931162512574,-80.170140950057,Exact/R,"https://www.google.com/maps/place/25.931162512574,-80.170140950057/@25.931162512574,-80.170140950057,20z/data=!3m1!1e3",https://www.google.com/maps/search/?api=1&query=16899%20NE%2015%20AVE%2C%20NORTH%20MIAMI%20BEACH%2C%20FL%2033162,,,,,
3,"2337477|2010|4155 LAGUNA ST, CORAL GABLES, 33146",BISTRO CAFE,4155 LAGUNA ST,CORAL GABLES,33146,25.733529861991,-80.26109596033,Exact/L,"https://www.google.com/maps/place/25.733529861991,-80.26109596033/@25.733529861991,-80.26109596033,20z/data=!3m1!1e3",https://www.google.com/maps/search/?api=1&query=4155%20LAGUNA%20ST%2C%20CORAL%20GABLES%2C%20FL%2033146,,,,,
4,"2333979|2010|270 BISCAYNE BLVD WAY, MIAMI, 33131",EPIC HOTEL BANQUET KITCHEN,270 BISCAYNE BLVD WAY,MIAMI,33131,25.770878311037,-80.188523945874,Exact/R,"https://www.google.com/maps/place/25.770878311037,-80.188523945874/@25.770878311037,-80.188523945874,20z/data=!3m1!1e3",https://www.google.com/maps/search/?api=1&query=270%20BISCAYNE%20BLVD%20WAY%2C%20MIAMI%2C%20FL%2033131,,,,,
5,"2325887|2010|328 SW 17 AVE, MIAMI, 33135",DELICIAS OLANCHANAS,328 SW 17 AVE,MIAMI,33135,25.769320702809,-80.222721933862,Exact/R,"https://www.google.com/maps/place/25.769320702809,-80.222721933862/@25.769320702809,-80.222721933862,20z/data=!3m1!1e3",https://www.google.com/maps/search/?api=1&query=328%20SW%2017%20AVE%2C%20MIAMI%2C%20FL%2033135,,,,,
6,"2336014|2010|13920 SW 139 CT, MIAMI, 33186",HIBACHI LIVE,13920 SW 139 CT,MIAMI,33186,25.637996505628,-80.419880271605,Exact/R,"https://www.google.com/maps/place/25.637996505628,-80.419880271605/@25.637996505628,-80.419880271605,20z/data=!3m1!1e3",https://www.google.com/maps/search/?api=1&query=13920%20SW%20139%20CT%2C%20MIAMI%2C%20FL%2033186,,,,,
7,"2336057|2010|7101 COLLINS AVE, MIAMI BEACH, 33141",CEVICHES PERU BEACH,7101 COLLINS AVE,MIAMI BEACH,33141,25.856182060521,-80.120429542023,Exact/R,"https://www.google.com/maps/place/25.856182060521,-80.120429542023/@25.856182060521,-80.120429542023,20z/data=!3m1!1e3",https://www.google.com/maps/search/?api=1&query=7101%20COLLINS%20AVE%2C%20MIAMI%20BEACH%2C%20FL%2033141,,,,,
8,"2336301|2010|300 NW 26TH STREET, MIAMI, 33127",WALT GRACE VINTAGE,300 NW 26TH STREET,MIAMI,33127,25.801361095822,-80.201178255476,Exact/L,"https://www.google.com/maps/place/25.801361095822,-80.201178255476/@25.801361095822,-80.201178255476,20z/data=!3m1!1e3",https://www.google.com/maps/search/?api=1&query=300%20NW%2026TH%20STREET%2C%20MIAMI%2C%20FL%2033127,,,,,
9,"2335018|2010|1872 W FLAGLER ST, MIAMI, 33135",CAFETERIA RIKO RIKO,1872 W FLAGLER ST,MIAMI,33135,25.772639695424,-80.226322213052,Exact/L,"https://www.google.com/maps/place/25.772639695424,-80.226322213052/@25.772639695424,-80.226322213052,20z/data=!3m1!1e3",https://www.google.com/maps/search/?api=1&query=1872%20W%20FLAGLER%20ST%2C%20MIAMI%2C%20FL%2033135,,,,,
10,"2326916|2010|8180 NW 36 ST STE 104, MIAMI, 33166",SUNSHINE CAFETERIA EXPRESS CORP,8180 NW 36 ST STE 104,MIAMI,33166,25.809742011733,-80.32912805465,Exact/R,"https://www.google.com/maps/place/25.809742011733,-80.32912805465/@25.809742011733,-80.32912805465,20z/data=!3m1!1e3",https://www.google.com/maps/search/?api=1&query=8180%20NW%2036%20ST%20STE%20104%2C%20MIAMI%2C%20FL%2033166,,,,,
11,"2337367|2010|1901 CONVENTION CENTER DR, MIAMI BEACH, 33139",CART 7 OCEAN MARKET,1901 CONVENTION CENTER DR,MIAMI BEACH,33139,25.794998470289,-80.13487717688,Exact/L,"https://www.google.com/maps/place/25.794998470289,-80.13487717688/@25.794998470289,-80.13487717688,20z/data=!3m1!1e3",https://www.google.com/maps/search/?api=1&query=1901%20CONVENTION%20CENTER%20DR%2C%20MIAMI%20BEACH%2C%20FL%2033139,,,,,
12,"2315903|2010|9503 S DIXIE HWY, PINECREST, 33156",PHO 79 V,9503 S DIXIE HWY,PINECREST,33156,25.681707367235,-80.315411897098,Exact/L,"https://www.google.com/maps/place/25.681707367235,-80.315411897098/@25.681707367235,-80.315411897098,20z/data=!3m1!1e3",https://www.google.com/maps/search/?api=1&query=9503%20S%20DIXIE%20HWY%2C%20PINECREST%2C%20FL%2033156,,,,,
